language,category,hanzi,literal_translation,meaning
Mandarin,Food / daily life,酸甜苦辣,"sour, sweet, bitter, spicy",the full range of life’s experiences
Cantonese,Food / daily life,酸甜苦辣,"sour, sweet, bitter, spicy",the full range of life’s experiences
Mandarin,Food / daily life,人間煙火 / 人间烟火,human-world smoke and fire,warmth of ordinary human life
Cantonese,Food / daily life,人間煙火 / 人间烟火,human-world smoke and fire,warmth of ordinary human life
Mandarin,Food / daily life,茶餘飯後 / 茶余饭后,after tea and meals,casual conversation or gossip time
Cantonese,Food / daily life,茶餘飯後 / 茶余饭后,after tea and meals,casual conversation or gossip time
Mandarin,Cute / wholesome,平安喜樂 / 平安喜乐,peace and joy,peaceful and happy life
Cantonese,Cute / wholesome,平安喜樂 / 平安喜乐,peace and joy,peaceful and happy life
Mandarin,Cute / wholesome,萬事如意 / 万事如意,ten thousand things as wished,may everything go as desired
Cantonese,Cute / wholesome,萬事如意 / 万事如意,ten thousand things as wished,may everything go as desired
Mandarin,Cute / wholesome,心想事成,what the heart thinks becomes reality,may your wishes come true
Cantonese,Cute / wholesome,心想事成,what the heart thinks becomes reality,may your wishes come true
Mandarin,Cute / wholesome,吉祥如意,auspicious and as wished,good luck and fulfillment
Cantonese,Cute / wholesome,吉祥如意,auspicious and as wished,good luck and fulfillment
Mandarin,Cute / wholesome,歲歲平安 / 岁岁平安,peace year after year,lasting safety and peace
Cantonese,Cute / wholesome,歲歲平安 / 岁岁平安,peace year after year,lasting safety and peace
Mandarin,Cute / wholesome,笑口常開 / 笑口常开,smiling mouth always open,always smiling and cheerful
Cantonese,Cute / wholesome,笑口常開 / 笑口常开,smiling mouth always open,always smiling and cheerful
Mandarin,Cute / wholesome,福星高照,lucky star shines high,good fortune watches over you
Cantonese,Cute / wholesome,福星高照,lucky star shines high,good fortune watches over you
Mandarin,Cute / wholesome,花開富貴 / 花开富贵,"flowers bloom, wealth and honor",prosperity and beauty
Cantonese,Cute / wholesome,花開富貴 / 花开富贵,"flowers bloom, wealth and honor",prosperity and beauty
Mandarin,Cute / wholesome,龍馬精神 / 龙马精神,dragon-horse spirit,vigorous energy and vitality
Cantonese,Cute / wholesome,龍馬精神 / 龙马精神,dragon-horse spirit,vigorous energy and vitality
Mandarin,Cute / wholesome,身壯力健 / 身壮力健,"body strong, power healthy",strong and healthy
Cantonese,Cute / wholesome,身壯力健 / 身壮力健,"body strong, power healthy",strong and healthy
Mandarin,Sarcastic / spicy,自作聰明 / 自作聪明,make oneself clever,"think oneself clever, usually wrongly"
Cantonese,Sarcastic / spicy,自作聰明 / 自作聪明,make oneself clever,"think oneself clever, usually wrongly"
Mandarin,Sarcastic / spicy,口是心非,"mouth says yes, heart says no",say one thing and mean another
Cantonese,Sarcastic / spicy,口是心非,"mouth says yes, heart says no",say one thing and mean another
Mandarin,Sarcastic / spicy,狼心狗肺,wolf heart and dog lungs,cruel and ungrateful
Cantonese,Sarcastic / spicy,狼心狗肺,wolf heart and dog lungs,cruel and ungrateful
Mandarin,Sarcastic / spicy,厚顏無恥 / 厚颜无耻,thick-faced and without shame,shameless
Cantonese,Sarcastic / spicy,厚顏無恥 / 厚颜无耻,thick-faced and without shame,shameless
Mandarin,Sarcastic / spicy,得寸進尺 / 得寸进尺,gain an inch and advance a foot,take more than one is given
Cantonese,Sarcastic / spicy,得寸進尺 / 得寸进尺,gain an inch and advance a foot,take more than one is given
Mandarin,Sarcastic / spicy,裝模作樣 / 装模作样,put on a model and make a manner,pretend; put on an act
Cantonese,Sarcastic / spicy,裝模作樣 / 装模作样,put on a model and make a manner,pretend; put on an act
Mandarin,Sarcastic / spicy,狗眼看人低,dog eyes see people as low,look down on people
Cantonese,Sarcastic / spicy,狗眼看人低,dog eyes see people as low,look down on people
Mandarin,Sarcastic / spicy,一派胡言,one whole stream of nonsense words,complete nonsense
Cantonese,Sarcastic / spicy,一派胡言,one whole stream of nonsense words,complete nonsense
Mandarin,Sarcastic / spicy,廢話連篇 / 废话连篇,useless words in endless pages,endless nonsense
Cantonese,Sarcastic / spicy,廢話連篇 / 废话连篇,useless words in endless pages,endless nonsense
Mandarin,Sarcastic / spicy,眼高手低,"eyes high, hands low",ambitious standards but poor ability
Cantonese,Sarcastic / spicy,眼高手低,"eyes high, hands low",ambitious standards but poor ability
Mandarin,Minimal / nice Hanzi,龍 / 龙,dragon,"power, nobility, mythic force"
Cantonese,Minimal / nice Hanzi,龍 / 龙,dragon,"power, nobility, mythic force"
Mandarin,Minimal / nice Hanzi,虎,tiger,strength and courage
Cantonese,Minimal / nice Hanzi,虎,tiger,strength and courage
Mandarin,Minimal / nice Hanzi,風 / 风,wind,"movement, freedom, change"
Cantonese,Minimal / nice Hanzi,風 / 风,wind,"movement, freedom, change"
Mandarin,Minimal / nice Hanzi,月,moon,"beauty, calm, night"
Cantonese,Minimal / nice Hanzi,月,moon,"beauty, calm, night"
Mandarin,Minimal / nice Hanzi,星,star,"hope, light, destiny"
Cantonese,Minimal / nice Hanzi,星,star,"hope, light, destiny"
Mandarin,Minimal / nice Hanzi,雲 / 云,cloud,"lightness, distance, wandering"
Cantonese,Minimal / nice Hanzi,雲 / 云,cloud,"lightness, distance, wandering"
Mandarin,Minimal / nice Hanzi,雪,snow,"purity, cold beauty"
Cantonese,Minimal / nice Hanzi,雪,snow,"purity, cold beauty"
Mandarin,Minimal / nice Hanzi,夢 / 梦,dream,"dreams, illusion, longing"
Cantonese,Minimal / nice Hanzi,夢 / 梦,dream,"dreams, illusion, longing"
Mandarin,Minimal / nice Hanzi,心,heart,"heart, mind, feeling"
Cantonese,Minimal / nice Hanzi,心,heart,"heart, mind, feeling"
Mandarin,Minimal / nice Hanzi,道,way/path,"the way, principle, Dao"
Cantonese,Minimal / nice Hanzi,道,way/path,"the way, principle, Dao"
Mandarin,Minimal / nice Hanzi,禪 / 禅,meditation,"Zen, meditative calm"
Cantonese,Minimal / nice Hanzi,禪 / 禅,meditation,"Zen, meditative calm"
Mandarin,Minimal / nice Hanzi,光,light,"brightness, hope, radiance"
Cantonese,Minimal / nice Hanzi,光,light,"brightness, hope, radiance"
Mandarin,Minimal / nice Hanzi,影,shadow,"shadow, reflection, image"
Cantonese,Minimal / nice Hanzi,影,shadow,"shadow, reflection, image"
Mandarin,Minimal / nice Hanzi,海,sea,vastness and depth
Cantonese,Minimal / nice Hanzi,海,sea,vastness and depth
Mandarin,Minimal / nice Hanzi,山,mountain,stability and grandeur
Cantonese,Minimal / nice Hanzi,山,mountain,stability and grandeur
Mandarin,Minimal / nice Hanzi,火,fire,passion and energy
Cantonese,Minimal / nice Hanzi,火,fire,passion and energy
Mandarin,Minimal / nice Hanzi,水,water,"flow, adaptability, calm"
Cantonese,Minimal / nice Hanzi,水,water,"flow, adaptability, calm"
Mandarin,Minimal / nice Hanzi,空,empty / sky,"emptiness, openness, sky"
Cantonese,Minimal / nice Hanzi,空,empty / sky,"emptiness, openness, sky"
Mandarin,Minimal / nice Hanzi,靈 / 灵,spirit,"spirit, soul, subtle power"
Cantonese,Minimal / nice Hanzi,靈 / 灵,spirit,"spirit, soul, subtle power"
Mandarin,Minimal / nice Hanzi,緣 / 缘,fate connection,"destiny, karmic connection, affinity"
Cantonese,Minimal / nice Hanzi,緣 / 缘,fate connection,"destiny, karmic connection, affinity"
Cantonese,Cantonese slang / Hong Kong,冇眼睇,no eyes to watch,"too embarrassing, awful, or chaotic to look at"
Cantonese,Cantonese slang / Hong Kong,唔該,should not trouble you,"please, thanks, or excuse me depending on context"
Cantonese,Cantonese slang / Hong Kong,搞掂,handle until settled,"sorted, done, handled"
Cantonese,Cantonese slang / Hong Kong,食咗飯未？,have you eaten rice yet?,classic greeting; friendly check-in
Cantonese,Cantonese slang / Hong Kong,加油,add oil,keep going; come on
Cantonese,Cantonese slang / Hong Kong,無厘頭,without head or tail,absurd nonsense humor
Cantonese,Cantonese slang / Hong Kong,大頭蝦,big-headed shrimp,careless or forgetful person
Cantonese,Cantonese slang / Hong Kong,騎呢,odd / strange,"weird, quirky, awkward"
Cantonese,Cantonese slang / Hong Kong,巴閉,impressive / arrogant,"showy, cocky, or impressively bold depending on tone"
Cantonese,Cantonese slang / Hong Kong,得閒飲茶,"when free, drink tea",let’s hang out / yum cha sometime
Cantonese,Cantonese slang / Hong Kong,人山人海,"people mountain, people sea",huge crowd
Cantonese,Cantonese slang / Hong Kong,九唔搭八,nine does not connect to eight,completely unrelated or nonsensical
Cantonese,Cantonese slang / Hong Kong,有冇搞錯,is there any mistake?,are you kidding me? / seriously?
Cantonese,Cantonese slang / Hong Kong,黐線,stuck to the wire,"crazy, nuts"
Cantonese,Cantonese slang / Hong Kong,好犀利,very sharp/powerful,very impressive
Cantonese,Cantonese slang / Hong Kong,靚仔,pretty boy,handsome guy
Cantonese,Cantonese slang / Hong Kong,靚女,pretty girl,pretty girl / woman
Cantonese,Cantonese slang / Hong Kong,打邊爐,hit the side stove,eat hotpot
Cantonese,Cantonese slang / Hong Kong,收皮,collect skin,shut up / stop it; rude
Cantonese,Cantonese slang / Hong Kong,食檸檬,eat lemon,get romantically rejected
Cantonese,Cantonese slang / Hong Kong,笑到碌地,laugh until rolling on the floor,laugh extremely hard
Cantonese,Cantonese slang / Hong Kong,雞同鴨講 / 鸡同鸭讲,chicken talks with duck,people cannot understand each other
Mandarin,Mandarin internet slang,牛逼 / 牛屄,cow vagina,"awesome, badass; vulgar-ish"
Mandarin,Mandarin internet slang,厲害了 / 厉害了,it became powerful,impressive; often ironic
Mandarin,Mandarin internet slang,扎心了,it stabbed the heart,that hit emotionally
Mandarin,Mandarin internet slang,破防了,the defense was broken,emotionally overwhelmed or triggered
Mandarin,Mandarin internet slang,躺平,lie flat,opt out of the rat race
Mandarin,Mandarin internet slang,內卷 / 内卷,inward rolling,pointless competitive overwork
Mandarin,Mandarin internet slang,摸魚 / 摸鱼,touch fish,slack off at work or school
Mandarin,Mandarin internet slang,社死,social death,extreme embarrassment
Mandarin,Mandarin internet slang,YYDS,eternal god,GOAT; the best forever
Mandarin,Mandarin internet slang,真的栓Q,really thank Q,ironic meme version of thank you
Mandarin,Mandarin internet slang,笑死,laugh to death,LOL; very funny
Mandarin,Mandarin internet slang,絕絕子 / 绝绝子,absolutely absolutely child,"amazing or terrible, depending on tone"
Mandarin,Mandarin internet slang,離譜 / 离谱,off the score/sheet,"absurd, outrageous, ridiculous"
Mandarin,Mandarin internet slang,太卷了,too inward-rolling,too competitively exhausting
Mandarin,Mandarin internet slang,破大防,break the big defense,emotionally destroyed
